Rule1: S1,S2 - F3
Rule2: S3,S1 - F5
Rule3: S3,S2 - F6
Rule4: F6,S3 - F7
Rule5: S2,F5 - F8
Rule6: F3,S3 - F9
Rule7: S2,F9 - F10
Rule8: S4,F9 - F12
Rule9: F6,F10 - F13
Rule10: S4,S3 - F14
Rule11: F10,F14 - F15
Rule12: S2,F12 - F16
Rule13: S4,S1 - F17
Rule14: S2,S4 - F18
Rule15: F17,F12 - F19
Rule16: F17,F6 - F20
Rule17: F18,S4 - F21
Rule19: S4,F20 - F22
Rule20: F17,F20 - F23
Rule21: F17,F22 - F24
Rule22: S1,F24 - F25
Rule23: F17,F25 - F26
Rule24: S4,F23 - F27
Rule25: F20,F12 - F28
Rule26: F20,F8 - F29
Rule27: F20,F9 - F30
Rule28: F30,S1 - F31
Rule29: F31,S2 - F32
Rule30: S3,F30 - F33
Rule31: F17,F24 - F34
Rule32: F19,F20 - F35
Rule33: F35,F20 - F36
Rule34: F36,S2 - F37
Rule35: F20,F37 - F38
Rule36: F38,F37 - F39
Rule37: F36,F6 - F40
Rule38: F40,F6 - F41
Rule39: F28,S1 - F42
Rule40: F36,F10 - F43
Rule41: F10,F43 - F44
Rule42: F44,F36 - F45
Rule43: F45,F44 - F46
Rule44: F46,F32 - F47
Rule45: F47,F36 - F48
Rule46: S2,F19 - F49
Rule47: F43,F26 - F50
Rule48: F33,F45 - F51
Rule49: F42,F43 - F52
Rule50: F51,F50 - F53
Rule51: F17,F23 - F54
Rule52: F42,S2 - F55
Rule53: F55,F15 - F56
Rule54: F36,F21 - F57
Rule55: F12,F54 - F58
Rule56: S4,F58 - F59
Rule57: S4,F55 - F60
Rule58: F27,F59 - F61
Rule59: F58,F43 - F62
Rule60: F62,F44 - F63
Rule61: F63,F36 - F64
Rule62: F52,F43 - F65
Rule63: S1,F43 - F66
Rule64: F66,F28 - F67
Rule65: F67,F9 - F68
Rule66: F68,S4 - F69
Rule67: F69,S2 - F70
Rule68: F70,F18 - F71
Rule69: F12,F30 - F72
Rule70: F17,F30 - F73
Rule71: F52,F65 - F74
Rule72: F74,F56 - F75
Rule73: F33,S2 - F76
Rule74: F73,S1 - F77
Rule75: F77,F48 - F78
Rule76: F54,S1 - F79
Rule77: S2,F25 - F80
Rule78: F79,F12 - F81
Rule79: F80,F50 - F82
Rule80: F12,F77 - F83
Rule81: F83,F36 - F84
Rule82: F52,S4 - F85
Rule83: F74,F77 - F86
Rule84: F45,F77 - F87
Rule85: F87,F43 - F88
Rule86: F88,F43 - F89
Rule87: F36,F19 - F90
Rule88: F36,F9 - F91
Rule89: F9,F27 - F92
Rule90: F36,F12 - F93
Rule91: F92,F9 - F94
Rule92: F94,S2 - F95
Rule93: F95,S4 - F96
Rule94: F94,F19 - F97
Rule95: F36,F77 - F98
Rule96: F20,F42 - F99
Rule97: F22,S1 - F100
Rule98: S4,F97 - F101
Rule99: F101,F49 - F102
Rule100: F102,F49 - F103
Rule101: F102,F21 - F104
Rule102: F59,F77 - F105
Rule103: F36,F59 - F106
Rule104: F107,S2 - F108
Rule105: F42,F85 - F109
Rule106: F60,F74 - F110
Rule107: F110,F6 - F111
Rule108: F111,F36 - F112
Rule109: F36,F110 - F113
Rule110: F113,F110 - F114
Rule111: F17,F77 - F115
Rule112: F115,F6 - F116
Rule113: F110,S3 - F117
Rule114: S3,F54 - F118
Rule115: F7,F33 - F119
Rule116: F98,F25 - F120
Rule117: F94,F120 - F121
Rule118: F121,F122 - F123
Rule119: F44,F123 - F124
Rule120: F109,F56 - F125
Rule121: F44,F46 - F126
